state,15-19,20-24,25-29,30-34,35-39,40-44
Abia,0.054237115158062524,0.15391506042365247,0.21544865274567926,0.22996554225281382,0.11920110429477501,0.03018397337607653
Adamawa,0.14643532288796085,0.2751010836085019,0.27632539832962333,0.23459320158314564,0.14986041351478077,0.09276500059278837
Akwa Ibom,0.07637444683341305,0.1728796826418771,0.21704402636424172,0.20474574978889828,0.086004265242839,0.014566929111565286
Anambra,0.06019339407256247,0.18154611658197364,0.23904605637879545,0.19727886126873095,0.11671026503826028,0.052362105630855776
Bauchi,0.1715818402636596,0.28110856138108176,0.29639062572509195,0.25061583435756485,0.17386276794434302,0.1066684145267853
Bayelsa,0.11432578651449611,0.19728721881271563,0.2081067360506598,0.18248378933856246,0.10672887907641372,0.041761592415300176
Benue,0.09876658136262388,0.22401948229431135,0.2507702360131,0.20629944837279968,0.13205351954858274,0.04738179916261395
Borno,0.15079112439503578,0.2928914635438047,0.2903844380168182,0.2345902702861949,0.16619302357924232,0.10898132284136598
Cross River,0.08826605740415289,0.19539102094569202,0.23328460392379224,0.2101053930696361,0.11885413401726269,0.03848575851936794
Delta,0.08911543115493366,0.19264829458169405,0.2120342727446478,0.2124840070592177,0.10345618783625793,0.0425915301531397
Ebonyi,0.08698544990062446,0.2119322114882046,0.27717749263879765,0.2279103130216842,0.1365574149845874,0.0372547416970603
Edo,0.05751761129910862,0.2021618522440598,0.2422659007446598,0.22266658310719922,0.12157747066665706,0.060207781223795324
Ekiti,0.06191534450952168,0.20638271743170963,0.25230465997424056,0.232793709042915,0.11864095161755106,0.023472449426440594
Enugu,0.050448841199664966,0.17090814287940873,0.21855771220745102,0.18373728922625096,0.12906710295475618,0.04475895920946164
Federal Capital Territory,0.06275494621380386,0.20741355609953027,0.22921573017094,0.1930519014334414,0.11332856958592936,0.07792418334923146
Gombe,0.14265702083113027,0.24665000684936664,0.24747326728793667,0.21531209115683844,0.14925167794038996,0.0981903939942181
Imo,0.03802296555015442,0.18032317625721123,0.24189859875749248,0.24659639050281684,0.12003271326788358,0.033153710990598294
Jigawa,0.14718020717847002,0.2955888947379604,0.30802685779950545,0.26513107730283786,0.1986092368356344,0.12785493375095988
Kaduna,0.12391216185855099,0.24415071961910711,0.2615065709990356,0.20666100559793996,0.15372299239444073,0.09953696100244636
Kano,0.12432979446866245,0.24227582962040115,0.2512231930687796,0.21954856539762876,0.17317827090758023,0.09346797997425452
Katsina,0.1594911661302369,0.29456112854963684,0.30675743554726365,0.271838048365137,0.20589330703346434,0.1131331525895473
Kebbi,0.14406631734456202,0.2801001739187613,0.28584913655072824,0.2525738555496535,0.1851030172209495,0.09004028379624497
Kogi,0.08996328020175764,0.22575994836210533,0.24322172403254186,0.20315391333815244,0.13044614360053292,0.0563964921137086
Kwara,0.07279356459623254,0.22039117044038903,0.27185890449809436,0.21666809815243357,0.14719277712147,0.06398339272898652
Lagos,0.018329056067573384,0.10781196424451386,0.14597742151390794,0.12447275520252615,0.07206622368439665,0.02824971888812598
Nassarawa,0.0890776843170658,0.22320896575103097,0.2562378289571231,0.22097408560253837,0.14486759103880578,0.07097287769961204
Niger,0.10481158032552676,0.24565482063476665,0.2717088304843272,0.23902764159783849,0.16138792716582057,0.07825336724042439
Ogun,0.054282727820390085,0.1744821010731145,0.2107486941693848,0.17419697220646532,0.11883962186715853,0.038770296753516224
Ondo,0.06156514187339388,0.21326993985459253,0.22463102148470798,0.2049044869255289,0.12748998569284745,0.02832748611606235
Osun,0.04745923846238918,0.1709690291943175,0.20257842077148946,0.14325038141799176,0.1200912191586774,0.04639259774621952
Oyo,0.05503685014519661,0.17519657572863168,0.20478540189140507,0.16463706678474918,0.1176388264553432,0.036876430045405445
Plateau,0.09084031624708613,0.23449979098582785,0.26627397312643397,0.20386152205534466,0.14299119805417385,0.0665961833558057
Rivers,0.04481336303649897,0.16096897140710342,0.19086932687551375,0.15859758391107792,0.09279276496384845,0.020795585354529366
Sokoto,0.14298695089846022,0.2705825651838225,0.2636828625858204,0.2471780760615461,0.17753142058075122,0.09846573560556739
Taraba,0.11839074122904035,0.24306031304857098,0.254741052109097,0.22380280852297713,0.13082872283734703,0.07408728929719681
Yobe,0.14948337414221297,0.2944949332969334,0.3024150483098031,0.24659930680211017,0.18325587688045417,0.12071274232635798
Zamfara,0.14919051350335139,0.2939670152558265,0.2942032764069544,0.2546531023792561,0.1907096929876152,0.10026247027902102
